Date,Minimum temperature (°C),Maximum temperature (°C),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa)
2022-02-12,14.3,27.9,19.1,46,7,1018.0,25.4,39,15,1014.3
2022-02-13,16.7,34.8,24.4,30,9,1013.3,33.8,15,13,1012.9
2022-02-14,18.9,35.5,25.1,35,1,1019.2,32.8,29,15,1017.9
2022-02-15,16.7,31.9,22.2,58,2,1021.3,30.9,35,13,1019.1
2022-02-16,19.3,26.0,19.9,75,9,1016.9,24.4,62,15,1014.9
2022-02-17,15.3,23.6,18.4,58,9,1016.4,22.8,52,15,1016.1
2022-02-18,16.7,24.3,18.2,66,11,1019.7,23.0,47,22,1019.6
2022-02-19,12.8,24.1,17.9,50,11,1020.6,23.1,41,17,1017.2
2022-02-20,11.5,21.9,15.6,71,2,1012.1,20.2,56,17,1010.6
2022-02-21,15.5,21.5,17.2,57,15,1014.8,19.1,50,15,1014.0
2022-02-22,14.8,27.0,18.2,43,15,1015.8,26.3,32,15,1013.2
2022-02-23,15.2,32.7,22.5,41,4,1015.1,31.0,24,15,1012.9
2022-02-24,21.5,33.2,26.3,27,9,1016.3,32.9,23,13,1014.5
2022-02-25,16.3,30.1,21.3,55,4,1017.4,28.9,34,15,1014.8
2022-02-26,15.8,29.8,20.9,51,4,1015.7,28.5,37,17,1013.2
2022-02-27,16.3,27.6,20.0,57,1,1012.2,26.6,50,11,1010.6
2022-02-28,17.9,27.7,20.4,82,7,1011.5,25.3,53,15,1009.5
2022-03-1,16.6,27.0,19.8,77,4,1010.5,24.8,65,20,1008.4
2022-03-2,14.7,27.9,19.3,74,1,1010.2,25.2,57,15,1009.0
2022-03-3,19.0,33.3,26.3,56,9,1011.0,31.9,38,15,1009.8
2022-03-4,21.9,23.6,21.9,77,13,1012.1,21.6,70,13,1012.8
2022-03-5,14.8,24.4,18.5,75,11,1013.7,23.6,58,24,1013.4
2022-03-6,16.0,23.7,17.1,64,13,1019.8,22.4,42,15,1017.5
2022-03-7,15.0,24.4,18.6,71,9,1016.5,24.0,51,17,1015.4
2022-03-8,15.3,23.2,17.1,61,15,1020.1,22.1,46,20,1018.7
2022-03-9,13.6,24.9,16.4,64,11,1022.6,23.8,37,17,1019.7
2022-03-10,13.5,26.3,16.7,54,9,1022.7,25.2,27,11,1019.4
2022-03-11,11.6,26.2,18.3,54,1,1020.2,25.5,36,15,1017.6
2022-03-12,13.4,29.6,20.1,50,1,1019.1,28.3,23,17,1016.5
2022-03-13,16.6,33.2,24.1,28,6,1017.1,31.9,14,17,1015.1
2022-03-14,22.2,35.3,23.7,35,2,1015.0,33.6,13,17,1012.6
2022-03-15,21.3,34.4,24.2,52,11,1014.5,33.4,23,11,1010.6
2022-03-16,22.7,27.5,25.1,53,13,1011.8,22.9,70,13,1011.8
2022-03-17,17.0,29.1,21.6,78,1,1014.8,28.6,38,17,1013.7
2022-03-18,15.3,29.1,19.9,68,4,1019.9,28.3,37,9,1017.5
2022-03-19,16.7,33.7,21.9,58,1,1016.2,33.1,32,11,1013.8
2022-03-20,19.2,31.3,22.5,63,1,1016.6,29.1,44,15,1014.9
2022-03-21,15.9,29.7,20.6,65,7,1015.0,25.8,52,13,1013.2
2022-03-22,17.6,23.3,21.6,74,1,1012.2,20.6,79,9,1011.5
2022-03-23,13.5,23.0,16.6,76,11,1017.8,22.5,46,15,1016.0
2022-03-24,11.7,23.7,16.5,50,2,1018.9,21.1,43,20,1017.8
2022-03-25,11.7,23.7,16.4,57,9,1023.5,22.7,35,11,1020.6
2022-03-26,12.2,26.5,16.9,69,1,1021.5,24.7,41,13,1017.4
2022-03-27,16.9,31.8,22.2,45,6,1015.5,30.9,20,15,1012.8
2022-03-28,16.4,27.4,21.0,49,4,1016.3,27.2,41,17,1014.9
2022-03-29,12.5,24.0,17.4,73,4,1017.0,23.4,48,15,1015.1
2022-03-30,13.6,22.9,16.7,65,9,1020.1,22.0,41,17,1019.7
2022-03-31,14.6,,15.6,50,9,1026.3,20.8,38,13,1023.9
